,Model,Best_model_params,RMSE,R2,Top_20_genes_pc1
AM-580,CatBoostRegressor,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",1.6324782832494353,-0.02945118980474004,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT5', 'KRT14', 'KRT8', 'KRT17', 'KRT18', 'KRT6A']"
AT-406,CatBoostRegressor,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",1.2609905145625617,-0.06275443703950834,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT8', 'KRT18', 'AC107016.1', 'KRT14', 'FTH1', 'LCN2']"
AT13387,LinearRegression,{'fit_intercept': True},2.3704735532992776,0.1381709795647902,"['MT-CO2', 'MT-CO1', 'MT-ND2', 'MT-CYB', 'MT-RNR2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT14', 'AC107016.2', 'KRT19', 'KRT5', 'KRT18', 'KRT8', 'KRT6A', 'AC107016.1']"
AT7867,LinearRegression,{'fit_intercept': True},1.3302852105929872,0.11315912904375247,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT18', 'KRT8', 'KRT6A', 'KRT5', 'AC107016.1']"
AZ-3146,SVR,"{'C': 1.0, 'kernel': 'rbf'}",1.4076456079908266,0.09467414300436416,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'KRT14', 'FTH1']"
AZD1480,SVR,"{'C': 0.01, 'kernel': 'linear'}",1.1124502077112446,-0.11259596283849849,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT19', 'KRT6A', 'KRT14', 'AC107016.2', 'KRT18', 'KRT8']"
AZD4547,LinearRegression,{'fit_intercept': True},1.684410281654589,0.07097966177003401,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT8', 'KRT18', 'KRT14', 'AC107016.1', 'KRT5', 'FTH1']"
AZD6482,SVR,"{'C': 1.0, 'kernel': 'rbf'}",1.278018598850247,-0.02779954475855173,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'AC107016.2', 'KRT19', 'KRT5', 'KRT14', 'KRT18', 'KRT8', 'KRT6A']"
AZD7545,LinearRegression,{'fit_intercept': True},1.14949508573547,0.052141870044848715,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT19', 'KRT14', 'KRT6A', 'AC107016.2', 'KRT8', 'KRT18']"
AZD7762,CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",1.661624314381408,0.22516723908317138,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'KRT17', 'AC107016.2', 'KRT5', 'KRT6A', 'KRT8', 'KRT18', 'KRT14']"
AZD8055,LinearRegression,{'fit_intercept': True},2.1313903147028648,0.09426184276716709,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT19', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'KRT14', 'KRT6A']"
B02,SVR,"{'C': 0.1, 'kernel': 'rbf'}",1.094182082071353,0.005026422876954095,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT17', 'KRT19', 'KRT8', 'KRT18', 'KRT5', 'AC107016.1', 'LCN2']"
BCL-LZH-4,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 100}",0.758038224194642,0.017872717325908116,"['MT-CO2', 'MT-CO1', 'MT-ND2', 'MT-CYB', 'MT-RNR2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT14', 'KRT5', 'KRT19', 'KRT18', 'KRT8', 'AC107016.1', 'KRT17']"
BEC,CatBoostRegressor,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.7220690677511834,-0.03736385088550698,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT19', 'MTND1P23', 'KRT14', 'MT-TS1', 'KRT6A', 'LCN2']"
BI-2536,SVR,"{'C': 1.0, 'kernel': 'rbf'}",2.7316704206754006,0.2770334263793792,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT5', 'KRT8', 'KRT18', 'KRT6A', 'KRT14']"
BIBR-1532,SVR,"{'C': 0.01, 'kernel': 'linear'}",0.9353505450814108,0.004058378213462777,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'FTH1', 'AC107016.2', 'KRT5', 'KRT6A', 'KRT14', 'KRT8']"
BIRB-796,LinearRegression,{'fit_intercept': True},1.2543037683868032,0.09208999697052334,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT5', 'KRT18', 'KRT8', 'KRT14', 'KRT6A']"
BIX-01294,SVR,"{'C': 1.0, 'kernel': 'rbf'}",0.9723071054634358,0.18404904039611414,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT17', 'KRT8', 'KRT19', 'KRT18', 'KRT14', 'KRT5', 'AC107016.1']"
BMS-195614,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.8610685625066113,-0.009068319274105008,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT5', 'KRT17', 'AC107016.2', 'KRT19', 'KRT14', 'KRT8', 'KRT6A', 'MT-TS1']"
BMS-270394,SVR,"{'C': 0.1, 'kernel': 'rbf'}",1.023662085625816,0.026181398637632913,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT18', 'KRT5', 'KRT8', 'KRT17', 'KRT6A', 'KRT14']"
BMS-345541,LinearRegression,{'fit_intercept': True},0.8381308465114778,0.11324362743562577,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'AC107016.2', 'FTH1', 'KRT19', 'KRT5', 'KRT18', 'KRT8', 'AC107016.1']"
BMS-536924,CatBoostRegressor,"{'depth': 8, 'iterations': 200, 'learning_rate': 0.05}",1.3217078088371526,0.01680947835300428,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'AC107016.2', 'KRT5', 'KRT19', 'KRT8', 'KRT18', 'AC107016.1', 'KRT14']"
BMS-754807,KNeighborsRegressor,{'n_neighbors': 9},1.725831309775272,-0.018780542576064763,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT5', 'KRT6A', 'KRT8', 'MT-TS1', 'KRT18']"
BRD-A02303741,Ridge,{'alpha': 1000.0},0.9690689203040991,-0.030544575021742792,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT14', 'KRT6A', 'KRT19', 'MT-TS1', 'S100A11', 'S100A9']"
BRD-A02303741:carboplatin (1:1 mol/mol),Ridge,{'alpha': 1000.0},1.0737213241690873,-0.0723154708085918,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'AC107016.2', 'KRT8', 'KRT18', 'LCN2', 'KRT6A', 'KRT5']"
BRD-A02303741:navitoclax (2:1 mol/mol),CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.05}",1.8255203803027236,0.12932689732432734,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT5', 'KRT17', 'KRT6A', 'FTH1', 'KRT8', 'KRT14']"
BRD-A05715709,ElasticNet,"{'alpha': 1.0, 'l1_ratio': 0.5}",0.7105754596319039,-0.1724963529349426,"['MT-CO2', 'MT-CO1', 'MT-CYB', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT19', 'KRT14', 'KRT6A', 'TACSTD2', 'AC107016.2', 'LCN2']"
BRD-A71883111,CatBoostRegressor,"{'depth': 6, 'iterations': 300, 'learning_rate': 0.01}",0.8429504632431647,-0.00866217244951617,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'FTH1', 'KRT5', 'KRT18', 'KRT8', 'KRT14']"
BRD-A86708339,SVR,"{'C': 1.0, 'kernel': 'rbf'}",1.6498563233092844,0.23753608370167212,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT14', 'KRT17', 'KRT6A', 'KRT19', 'TACSTD2', 'S100A11', 'SFN']"
BRD-A94377914,SVR,"{'C': 1.0, 'kernel': 'rbf'}",1.0819935319480345,0.2623638366589698,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'FTH1', 'KRT5', 'KRT17', 'KRT19', 'MTND1P23', 'AC107016.2', 'RP5-857K21.7', 'KRT8']"
BRD-K01737880,RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 300}",1.7077884703495296,0.20694243073719498,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'AC107016.2', 'KRT8', 'KRT19', 'KRT5', 'KRT18', 'KRT6A', 'AC107016.1', 'SEC61G']"
BRD-K02251932,CatBoostRegressor,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",1.4238272530399736,0.001484695763799393,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT17', 'KRT5', 'AC107016.2', 'KRT6A', 'LCN2', 'KRT14', 'KRT18']"
BRD-K02492147,RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 100}",0.734502956234228,0.03079475472956872,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT19', 'AC107016.2', 'KRT6A', 'KRT14', 'KRT8', 'KRT18']"
BRD-K03536150,CatBoostRegressor,"{'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",1.2216368459797575,0.09449498576969761,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'KRT19', 'AC107016.2', 'KRT14', 'KRT6A', 'KRT18', 'KRT8']"
BRD-K03911514,LinearRegression,{'fit_intercept': True},0.7829235334711653,-0.020214691831623055,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'FTH1', 'KRT5', 'KRT17', 'AC107016.2', 'KRT8', 'KRT14', 'MTND1P23']"
BRD-K04800985,SVR,"{'C': 0.001, 'kernel': 'rbf'}",0.7706165564018835,-0.012684791124490502,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT14', 'KRT19', 'KRT6A', 'AC107016.2', 'KRT18', 'KRT8']"
BRD-K07442505,ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.9}",0.9346597165900643,-0.023428944393677487,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'AC107016.2', 'KRT17', 'KRT19', 'KRT8', 'KRT18', 'KRT5', 'AC107016.1', 'KRT14']"
BRD-K09344309,SVR,"{'C': 0.01, 'kernel': 'poly'}",1.2401044675620665,-0.1053415203289716,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-ND1', 'MT-CYB', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'MT-RNR1', 'hsa-mir-6723', 'MTND2P28', 'AC107016.2', 'KRT8', 'CTD-2328D6.1', 'FTH1', 'KRT18', 'LCN2', 'KRT19', 'AC107016.1']"
BRD-K09587429,LinearRegression,{'fit_intercept': True},0.7542394629858734,-0.015491021476027544,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT5', 'KRT14', 'KRT19', 'LCN2', 'KRT6A', 'S100A11', 'AC107016.2']"
BRD-K11533227,GradientBoostingRegressor,"{'learning_rate': 0.01, 'n_estimators': 100}",1.3506640445783944,0.024729991533106288,"['MT-CO1', 'MT-CO2', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'AC107016.2', 'KRT6A', 'LCN2', 'KRT18', 'MT-TS1']"
BRD-K13185470,KNeighborsRegressor,{'n_neighbors': 9},1.1637761926306953,-0.11605807770676635,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'MTND1P23', 'KRT19', 'KRT14', 'MT-TS1', 'LCN2', 'KRT6A']"
BRD-K13999467,LinearRegression,{'fit_intercept': True},0.9065400558698654,0.03568215634193417,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT18', 'KRT8', 'KRT5', 'KRT14', 'AC107016.1']"
BRD-K14844214,CatBoostRegressor,"{'depth': 6, 'iterations': 300, 'learning_rate': 0.01}",1.204032930462628,-0.02885705331187438,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT17', 'KRT8', 'KRT18', 'KRT5', 'LCN2', 'MT-TS1']"
BRD-K16130065,XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3}",0.7890026552182012,-0.03236917832553399,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'RP5-857K21.7', 'KRT5', 'KRT17', 'MTND1P23', 'KRT14', 'KRT19', 'CD24P4', 'KRT6A']"
BRD-K16147474,CatBoostRegressor,"{'depth': 6, 'iterations': 100, 'learning_rate': 0.01}",0.7347196990983417,-0.08370534319954581,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'KRT19', 'KRT5', 'KRT14', 'KRT6A', 'AC107016.2', 'KRT8', 'KRT18']"
BRD-K17060750,KNeighborsRegressor,{'n_neighbors': 9},1.0346918146165882,-0.030558631256490942,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'AC107016.2', 'KRT14', 'KRT17', 'FTH1', 'KRT5', 'KRT8', 'KRT18']"
BRD-K19103580,CatBoostRegressor,"{'depth': 6, 'iterations': 200, 'learning_rate': 0.01}",0.7572007306110593,-0.057529853619551874,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT17', 'AC107016.2', 'KRT19', 'KRT6A', 'KRT14', 'KRT18', 'KRT8']"
BRD-K20514654,CatBoostRegressor,"{'depth': 4, 'iterations': 300, 'learning_rate': 0.01}",0.7848643860922103,0.07963356878498051,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-ND2', 'MT-CYB', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT17', 'FTH1', 'KRT5', 'AC107016.2', 'KRT8', 'KRT18', 'KRT19', 'S100A11']"
BRD-K24690302,Ridge,{'alpha': 1000.0},1.0102653442676108,-0.05717022040419106,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT19', 'KRT5', 'AC107016.2', 'KRT17', 'KRT8', 'KRT6A', 'KRT14', 'KRT18']"
BRD-K26531177,LinearRegression,{'fit_intercept': True},1.0049179323465351,0.11266002142182963,"['MT-CO2', 'MT-CO1', 'MT-RNR2', 'MT-CYB', 'MT-ND2', 'MT-ND1', 'MT-ND3', 'MT-ND6', 'MT-ND5', 'hsa-mir-6723', 'MT-RNR1', 'MTND2P28', 'KRT5', 'KRT14', 'KRT17', 'KRT19', 'AC107016.2', 'FTH1', 'KRT6A', 'KRT18']"
