Unnamed: 0,RMSE,R2
navitoclax,2.4022275268963003,0.1925640913706838
navitoclax:PLX-4032 (1:1 mol/mol),2.300329244386271,0.130876416187687
navitoclax:birinapant (1:1 mol/mol),2.737700385835987,0.0803626350219287
navitoclax:gemcitabine (1:1 mol/mol),2.5851431526860087,0.2595412742283953
navitoclax:piperlongumine (1:1 mol/mol),1.9625002044064983,0.224524899709714
navitoclax:pluripotin (1:1 mol/mol),1.9926963003629048,0.1071554896907154
navitoclax:sorafenib (1:1 mol/mol),2.106153421020277,0.2228951893068075
neopeltolide,3.706098210454543,0.0666601122998571
neratinib,1.9237715034025449,0.1399148225539752
nilotinib,2.0855446848165724,0.0687319425282352
nintedanib,1.5182593874154422,0.0500905468953312
oligomycin A,3.5235869623501106,0.1347382135060282
omacetaxine mepesuccinate,2.0952419811933205,0.266166439553176
ouabain,2.4786345449737173,0.1837041564510548
paclitaxel,2.9531299883534605,0.2869319454728158
parbendazole,2.1475968673004875,0.4014941159780417
parthenolide,1.9245380317593213,0.0519756008266203
pevonedistat,1.900754559001793,0.3052422008685048
pluripotin,2.080702300581443,0.0953120474559837
rigosertib,2.0916356616417024,0.3383722969300561
salermide,1.553053083314067,0.0015829141496063
saracatinib,1.611757592952251,0.1022805938044086
selumetinib,2.432589131817358,0.2187031420055183
selumetinib:BRD-A02303741 (4:1 mol/mol),2.0383261124806107,0.2725643901217512
selumetinib:GDC-0941 (4:1 mol/mol),2.168309987333858,0.1315032352615013
selumetinib:JQ-1 (4:1 mol/mol),2.244516328081355,0.2000671515116623
selumetinib:MK-2206 (8:1 mol/mol),1.930524232074871,0.2281916028759664
selumetinib:PLX-4032 (8:1 mol/mol),2.089373473235546,0.2224798629006538
selumetinib:UNC0638 (4:1 mol/mol),2.065632780958436,0.2174259015996498
selumetinib:decitabine (4:1 mol/mol),2.245592427208115,0.3572871198933056
selumetinib:navitoclax (8:1 mol/mol),2.470795612869446,0.1540096878189493
selumetinib:piperlongumine (8:1 mol/mol),2.12591917196062,0.190968224056989
selumetinib:tretinoin (2:1 mol/mol),2.500631789584354,0.2116821581023954
selumetinib:vorinostat (8:1 mol/mol),1.9165785647307905,0.2344778138467826
silmitasertib,1.5099645449935657,-0.0108393441000924
sirolimus,2.471311438342738,0.1781026880183615
sirolimus:bortezomib (250:1 mol/mol),2.259614831985873,0.244877823650668
tamatinib,1.6236357548943203,0.0006666602050503
tanespimycin,2.0599208797852477,0.1131276750378229
tanespimycin:bortezomib (250:1 mol/mol),1.683065137329663,0.089619693461995
tanespimycin:gemcitabine (1:1 mol/mol),2.1592345470777063,0.3414729666749445
temsirolimus,2.296941856108526,0.1270803477955552
teniposide,2.2982021583270384,0.2060106940464946
tipifarnib-P1,1.5206692761952345,0.1628212138199594
tipifarnib-P2,1.765423352503823,0.3714233404383398
topotecan,2.1403547459471515,0.3719675261193135
trametinib,2.831477369678568,0.1970483378664016
tretinoin,1.7651233506782362,0.252679672738236
tretinoin:carboplatin (2:1 mol/mol),1.5633593173964797,0.2444760223688368
tretinoin:navitoclax (4:1 mol/mol),2.496077085387046,0.23441891368299
triazolothiadiazine,2.0701812610945267,0.4377229902976207
vincristine,2.636249765994902,0.4454436640076106
vorinostat:navitoclax (4:1 mol/mol),1.7415832489871623,0.2078022962848313
